Season,TeamID,TeamName,num,count,win_count,win_rate,season_elo
2010,3101,Abilene Chr,1,0.0,0.0,0.0,50.0
2010,3102,Air Force,2,28.0,1.0,0.03571428571428571,19.830098501280048
2010,3103,Akron,3,30.0,17.0,0.5666666666666667,36.55649082787136
2010,3104,Alabama,4,29.0,11.0,0.3793103448275862,42.432013582796884
2010,3105,Alabama A&M,5,27.0,14.0,0.5185185185185185,23.516225629845636
2010,3106,Alabama St,6,29.0,12.0,0.41379310344827586,22.62957594601228
2010,3107,SUNY Albany,7,30.0,11.0,0.36666666666666664,27.451695662435625
2010,3108,Alcorn St,8,28.0,8.0,0.2857142857142857,17.77746972515115
2010,3109,Alliant Intl,9,0.0,0.0,0.0,50.0
2010,3110,American Univ,10,21.0,13.0,0.6190476190476191,40.51927929650117
2010,3111,Appalachian St,11,31.0,19.0,0.6129032258064516,36.07361532295508
2010,3112,Arizona,12,31.0,14.0,0.45161290322580644,44.95238435307036
2010,3113,Arizona St,13,30.0,17.0,0.5666666666666667,59.30875575663667
2010,3114,Ark Little Rock,14,32.0,26.0,0.8125,55.4138000625443
2010,3115,Ark Pine Bluff,15,30.0,8.0,0.26666666666666666,23.080302258954518
2010,3116,Arkansas,16,30.0,12.0,0.4,49.14984502667194
2010,3117,Arkansas St,17,30.0,12.0,0.4,38.379963196310655
2010,3118,Armstrong St,18,0.0,0.0,0.0,50.0
2010,3119,Army,19,24.0,8.0,0.3333333333333333,28.324242196423924
2010,3120,Auburn,20,31.0,15.0,0.4838709677419355,59.22456595629204
2010,3121,Augusta,21,0.0,0.0,0.0,50.0
2010,3122,Austin Peay,22,32.0,15.0,0.46875,32.09424697941829
2010,3123,Ball St,23,31.0,14.0,0.45161290322580644,42.29462129011834
2010,3124,Baylor,24,32.0,23.0,0.71875,66.5581617921642
2010,3125,Belmont,25,29.0,14.0,0.4827586206896552,30.638485633777094
2010,3126,Bethune-Cookman,26,28.0,13.0,0.4642857142857143,21.88270970578658
2010,3127,Binghamton,27,30.0,11.0,0.36666666666666664,31.64778610972442
2010,3128,Birmingham So,28,0.0,0.0,0.0,50.0
2010,3129,Boise St,29,30.0,18.0,0.6,40.76599670612353
2010,3130,Boston College,30,32.0,17.0,0.53125,56.814259404350366
2010,3131,Boston Univ,31,30.0,16.0,0.5333333333333333,43.482259498585876
2010,3132,Bowling Green,32,33.0,27.0,0.8181818181818182,57.74207673089535
2010,3133,Bradley,33,29.0,16.0,0.5517241379310345,42.23501109127342
2010,3134,Brooklyn,34,0.0,0.0,0.0,50.0
2010,3135,Brown,35,28.0,8.0,0.2857142857142857,18.22662833366875
2010,3136,Bryant,36,29.0,13.0,0.4482758620689655,29.455062241543217
2010,3137,Bucknell,37,19.0,3.0,0.15789473684210525,25.98112056435454
2010,3138,Buffalo,38,30.0,7.0,0.23333333333333334,28.1740593614213
2010,3139,Butler,39,32.0,23.0,0.71875,46.274651778083296
2010,3140,BYU,40,29.0,20.0,0.6896551724137931,50.10358935385142
2010,3141,C Michigan,41,29.0,12.0,0.41379310344827586,36.556514285821194
2010,3142,Cal Poly,42,29.0,18.0,0.6206896551724138,38.188044582171045
2010,3143,California,43,31.0,18.0,0.5806451612903226,58.33400888568916
2010,3144,Campbell,44,29.0,13.0,0.4482758620689655,23.48240747034282
2010,3145,Canisius,45,31.0,12.0,0.3870967741935484,34.719073897923735
2010,3146,Cent Arkansas,46,25.0,17.0,0.68,28.100416971144696
2010,3147,Centenary,47,29.0,2.0,0.06896551724137931,7.658389090967226
2010,3148,Central Conn,48,30.0,12.0,0.4,26.258946135605882
2010,3149,Charleston So,49,27.0,14.0,0.5185185185185185,25.85500256292545
2010,3150,Charlotte,50,30.0,17.0,0.5666666666666667,50.503807590584245
2010,3151,Chattanooga,51,32.0,24.0,0.75,51.17297412597472
2010,3152,Chicago St,52,27.0,9.0,0.3333333333333333,27.995716979288517
2010,3153,Cincinnati,53,29.0,12.0,0.41379310344827586,45.14360276851548
2010,3155,Clemson,54,31.0,13.0,0.41935483870967744,44.14686906115686
2010,3156,Cleveland St,55,31.0,18.0,0.5806451612903226,42.802994634137946
2010,3157,Coastal Car,56,26.0,14.0,0.5384615384615384,29.119725959157137
2010,3158,Col Charleston,57,27.0,18.0,0.6666666666666666,39.76296166276609
2010,3159,Colgate,58,24.0,9.0,0.375,15.039983885693921
2010,3160,Colorado,59,30.0,13.0,0.43333333333333335,44.73302798916127
2010,3161,Colorado St,60,29.0,12.0,0.41379310344827586,35.66797812945809
2010,3162,Columbia,61,28.0,18.0,0.6428571428571429,34.61867529811863
2010,3163,Connecticut,62,32.0,32.0,1.0,90.97146555130108
2010,3164,Coppin St,63,25.0,6.0,0.24,26.842866738523327
2010,3165,Cornell,64,26.0,6.0,0.23076923076923078,22.123980360329526
2010,3166,Creighton,65,30.0,20.0,0.6666666666666666,50.68699264482426
2010,3167,CS Bakersfield,66,27.0,15.0,0.5555555555555556,37.477807360871324
2010,3168,CS Fullerton,67,32.0,15.0,0.46875,31.574982253483924
2010,3169,CS Northridge,68,27.0,4.0,0.14814814814814814,18.15265298538329
2010,3170,CS Sacramento,69,29.0,14.0,0.4827586206896552,30.472976751322136
2010,3171,Dartmouth,70,27.0,11.0,0.4074074074074074,32.32063709937211
2010,3172,Davidson,71,26.0,12.0,0.46153846153846156,35.05252376177394
2010,3173,Dayton,72,26.0,21.0,0.8076923076923077,55.48163718765035
2010,3174,Delaware,73,32.0,21.0,0.65625,44.045474991301646
